epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.32385,1.84695,242.87,0.83831,0,0,0,0,2.391,550.17,1.14236,0.00026,0.00026,0.00026
2,9.26928,1.852,196.386,0.8527,0,0,0,0,2.27448,1603.51,1.11304,0.000529308,0.000529308,0.000529308
3,12.3436,2.83289,50.7686,1.09007,6e-05,0.09091,4e-05,2e-05,1.9279,97.7822,0.73211,0.000787528,0.000787528,0.000787528
4,15.5595,2.756,22.2377,0.95408,0.00071,0.18182,0.00041,0.00017,2.01068,18.0445,0.78643,0.00103466,0.00103466,0.00103466
5,20.4239,2.62033,17.2787,1.0612,6e-05,0.09091,3e-05,1e-05,2.35532,inf,0.80997,0.0012707,0.0012707,0.0012707
6,26.4311,2.63939,10.5193,0.95269,0,0,0,0,0.60588,nan,0.21146,0.00149566,0.00149566,0.00149566
7,32.6667,2.28098,6.05067,0.8452,0.01282,0.04545,0.01112,0.00222,0.31114,0.53635,0.09604,0.00170953,0.00170953,0.00170953
8,38.5267,2.11978,5.193,0.81393,0,0,0,0,0,0.00893,0,0.0017228,0.0017228,0.0017228
9,44.4782,2.81232,4.33699,1.1333,0,0,0,0,1.60935,3.11089,0.54745,0.0016832,0.0016832,0.0016832
10,49.2377,2.29713,3.41791,0.9242,0.79058,0.04545,0.04634,0.03637,1.45733,2.31292,0.54287,0.0016436,0.0016436,0.0016436
11,62.3819,2.92235,2.63457,1.18125,0.91554,0.04545,0.05888,0.03555,1.46852,1.83221,0.53059,0.001604,0.001604,0.001604
12,75.1972,2.70083,2.9133,1.01988,0.69665,0.13636,0.17267,0.06255,1.40649,1.41237,0.64633,0.0015644,0.0015644,0.0015644
13,78.943,2.30705,4.07638,0.89187,0.25725,0.22727,0.15455,0.05752,1.80635,3.61056,0.78203,0.0015248,0.0015248,0.0015248
14,82.084,2.49913,2.42838,0.88019,0.8823,0.36364,0.37271,0.13579,1.88629,5.01519,0.77161,0.0014852,0.0014852,0.0014852
15,85.1527,2.23484,2.07119,0.94392,0.61414,0.45455,0.46653,0.15992,1.96558,5.7135,0.79611,0.0014456,0.0014456,0.0014456
16,88.2249,2.51088,1.76688,0.93946,0.74895,0.54258,0.55015,0.22894,1.60509,1.53449,0.74901,0.001406,0.001406,0.001406
17,91.118,2.11073,1.64795,0.81944,0.5927,0.40909,0.42624,0.18406,2.0286,2.11567,0.79178,0.0013664,0.0013664,0.0013664
